date,level
2018/03/06 22:30:00,4
2018/03/06 22:45:00,4
2018/03/06 23:00:00,4
2018/03/06 23:15:00,4
2018/03/06 23:30:00,4
2018/03/06 23:45:00,4
2018/03/07 00:00:00,4
2018/03/07 00:15:00,4
2018/03/07 00:30:00,4
2018/03/07 00:45:00,4
2018/03/07 01:00:00,4
2018/03/07 01:15:00,4
2018/03/07 01:30:00,4
2018/03/07 01:45:00,4
2018/03/07 02:00:00,4
2018/03/07 02:15:00,4
2018/03/07 02:30:00,4
2018/03/07 02:45:00,4
2018/03/07 03:00:00,4
2018/03/07 03:15:00,4
2018/03/07 03:30:00,4
2018/03/07 03:45:00,4
2018/03/07 04:00:00,4
2018/03/07 04:15:00,4
2018/03/07 04:30:00,4
2018/03/07 04:45:00,4
2018/03/07 05:00:00,4
2018/03/07 05:15:00,3
2018/03/07 05:30:00,3
2018/03/07 05:45:00,2
2018/03/07 06:00:00,2
2018/03/07 06:15:00,2
2018/03/07 06:30:00,1
2018/03/07 06:45:00,1
2018/03/07 07:00:00,0
2018/03/07 07:15:00,0
2018/03/07 07:30:00,0
2018/03/07 07:45:00,0
2018/03/07 08:00:00,0
2018/03/07 08:15:00,0
2018/03/07 08:30:00,0
2018/03/07 08:45:00,0
2018/03/07 09:00:00,0
2018/03/07 09:15:00,0
2018/03/07 09:30:00,0
2018/03/07 09:45:00,0
2018/03/07 10:00:00,0
2018/03/07 10:15:00,0
2018/03/07 10:30:00,0
2018/03/07 10:45:00,0
2018/03/07 11:00:00,0
2018/03/07 11:15:00,0
2018/03/07 11:30:00,0
2018/03/07 11:45:00,0
2018/03/07 12:00:00,0
2018/03/07 12:15:00,0
2018/03/07 12:30:00,0
2018/03/07 12:45:00,0
2018/03/07 13:00:00,0
2018/03/07 13:15:00,0
2018/03/07 13:30:00,0
2018/03/07 13:45:00,0
2018/03/07 14:00:00,0
2018/03/07 14:15:00,0
2018/03/07 14:30:00,0
2018/03/07 14:45:00,0
2018/03/07 15:00:00,0
2018/03/07 15:15:00,0
2018/03/07 15:30:00,0
2018/03/07 15:45:00,0
2018/03/07 16:00:00,0
2018/03/07 16:15:00,0
2018/03/07 16:30:00,0
